,CLI_MOM,CPI_MOM
平均值 (Mean),-5.2202405275858004e-05,0.0014122234018322706
標準差 (Std Dev),0.0009396886281533489,0.0019851968611576693
中位數 (Median),-4.8599925414054936e-05,0.0018444894273522
最小值 (Min),-0.0022565333645994,-0.0030846094445592
最大值 (Max),0.0030236731237598,0.0058095279758519
偏度 (Skewness),-0.036907209726678006,-0.11281743008789717
峰度 (Kurtosis),0.7247238984829907,-0.3032553041123207
