,0
Annual return,0.05890190824141173
Cumulative returns,0.007522879440604813
Annual volatility,0.4498998801856753
Sharpe ratio,0.3483098279905474
Calmar ratio,0.4496562391489393
Stability,0.5388585649976148
Max drawdown,-0.1309931968316394
Omega ratio,1.0588812344419856
Sortino ratio,0.46727288511944975
Skew,-0.696357189342073
Kurtosis,0.47955836013780573
Tail ratio,0.8057738479714396
Daily value at risk,-0.05606021358852457
