Date,Open,High,Low,Close,Volume,ticker
2009/11/23,114.67,115.1199,113.99,114.29,24421010,GLD
2009/11/24,114.73,114.81,113.97,114.73,22599520,GLD
2009/11/25,115.69,116.88,115.53,116.62,24552830,GLD
2009/11/27,113.08,115.81,113.02,115.06,21234380,GLD
2009/11/30,114.48,115.89,114.27,115.64,16395600,GLD
2009/12/1,117.3,117.93,116.78,117.38,27634950,GLD
2009/12/2,118.8,119.27,118.3,119.18,30994440,GLD
2009/12/3,118.57,119.54,118.03,118.7,28793750,GLD
2009/12/4,117.15,117.26,112.41,113.753,79163720,GLD
2009/12/7,111.51,114.22,111.44,113.11,42475390,GLD
2009/12/8,112.76,113.06,110.21,110.95,37626990,GLD
2009/12/9,111.6,112.48,109.38,110.84,37088370,GLD
2009/12/10,110.66,111.03,110.04,110.82,20490680,GLD
2009/12/11,110.6,110.82,108.7174,109.32,28983080,GLD
2009/12/14,110.01,110.7,109.5,110.24,16315470,GLD
2009/12/15,109.94,110.57,109.39,110.21,20040160,GLD
2009/12/16,110.83,111.91,110.63,111.59,22814300,GLD
2009/12/17,109.47,109.98,107.28,107.34,34931560,GLD
2009/12/18,108,109.5,107.04,108.95,25589660,GLD
2009/12/21,109.17,109.3,106.82,106.95,23301790,GLD
2009/12/22,106.79,107.09,105.312,106.17,28653080,GLD
2009/12/23,106.65,107.45,106.3,106.55,16883890,GLD
2009/12/24,107.9,108.37,107.77,108.36,7991563,GLD
2009/12/28,108.64,108.78,107.91,108.55,9621426,GLD
2009/12/29,108.5,108.5,107.45,107.47,11017160,GLD
2009/12/30,106.64,107.44,106.4,106.93,9396077,GLD
2009/12/31,107.98,108.11,107.24,107.31,9124660,GLD
2010/1/4,109.82,110.14,109.31,109.8,16200240,GLD
2010/1/5,109.88,110.39,109.26,109.7,14193400,GLD
2010/1/6,110.71,111.77,110.4086,111.51,24980510,GLD
2010/1/7,111.07,111.29,110.62,110.82,13550910,GLD
2010/1/8,111.52,111.58,110.26,111.37,15894300,GLD
2010/1/11,113.34,113.59,112.52,112.85,17184140,GLD
2010/1/12,112.38,113.05,110.14,110.49,29150970,GLD
2010/1/13,110.92,111.57,109.57,111.54,19982350,GLD
2010/1/14,111.51,112.37,110.79,112.03,18304800,GLD
2010/1/15,111.35,112.01,110.38,110.86,18000320,GLD
2010/1/19,110.95,111.75,110.83,111.52,10467930,GLD
2010/1/20,109.97,110.05,108.46,108.94,17533630,GLD
2010/1/21,108.48,108.78,106.61,107.37,25746930,GLD
2010/1/22,106.93,107.68,106.01,107.17,24209870,GLD
2010/1/25,107.44,107.72,107.07,107.48,13170040,GLD
2010/1/26,106.87,107.99,106.75,107.56,12272170,GLD
2010/1/27,107.53,108.8,106.16,106.528,18990770,GLD
2010/1/28,107.18,107.23,105.18,106.48,16792150,GLD
2010/1/29,105.88,106.3,105.27,105.96,20277140,GLD
2010/2/1,106.64,108.48,106.37,108.35,14868290,GLD
2010/2/2,109.16,109.6,108.61,109.13,14290690,GLD
2010/2/3,109.1,109.54,108.4305,108.7,13375880,GLD
2010/2/4,106.79,106.8,103.75,104.37,39950700,GLD
2010/2/5,103.76,104.68,102.28,104.68,32654470,GLD
2010/2/8,104.41,105.14,104,104.04,17175410,GLD
2010/2/9,105.18,106.15,104.87,105.41,25959000,GLD
2010/2/10,105.13,105.5,104.11,105.12,16209430,GLD
