Date,Open,High,Low,Close,Adj Close,Volume,ticker
2009/11/23,83.67073059,84.36534275,83.50462643,83.59523027,148010200,148010200,SPY
2009/11/24,83.79904938,83.95760172,83.05913847,83.80660113,138420100,138420100,SPY
2009/11/25,84.09352112,84.18412494,83.6707148,83.93496875,109564800,109564800,SPY
2009/11/27,82.72693634,83.2931972,81.76051873,81.84357078,126001800,126001800,SPY
2009/11/30,83.00629425,83.20259387,81.63216812,82.65898828,160874800,160874800,SPY
2009/12/1,84.0331192,84.30492489,83.60276115,83.74620999,159613700,159613700,SPY
2009/12/2,83.99536133,84.56917395,83.74620517,84.01801084,132315100,132315100,SPY
2009/12/3,83.33848572,84.69751391,83.27053719,84.22185693,167324900,167324900,SPY
2009/12/4,83.81415558,84.84852169,83.08179064,84.44081319,274907800,274907800,SPY
2009/12/7,83.6858139,84.20677581,83.42155995,83.73867045,127973800,127973800,SPY
2009/12/8,82.75715637,83.63297037,82.5004484,83.0818129,169863700,169863700,SPY
2009/12/9,83.06668854,83.18749362,82.31167408,82.73448609,155063400,155063400,SPY
2009/12/10,83.53481293,83.89722246,83.39135831,83.58011196,138014600,138014600,SPY
2009/12/11,83.88965607,84.07840968,83.51214884,83.88965607,124854000,124854000,SPY
2009/12/14,84.46349335,84.56164318,83.90477834,84.46349335,107141500,107141500,SPY
2009/12/15,84.07086945,84.50122751,83.8066155,84.15392151,120408800,120408800,SPY
2009/12/16,84.19923401,84.65979342,84.01048034,84.41064296,155358200,155358200,SPY
2009/12/17,83.18750763,83.75376857,83.11200732,83.5952162,183390100,183390100,SPY
2009/12/18,83.65813446,83.72645461,82.95219043,83.65054205,174591200,174591200,SPY
2009/12/21,84.50829315,84.78914876,84.07561822,84.07561822,118039600,118039600,SPY
2009/12/22,84.8119278,84.9941052,84.5842017,84.69047233,91707500,91707500,SPY
2009/12/23,84.97891998,85.10037544,84.63733664,85.01687626,111783100,111783100,SPY
2009/12/24,85.38123322,85.47231902,85.01687264,85.16109955,39677500,39677500,SPY
2009/12/28,85.56341553,85.76836438,85.25978266,85.70005003,87508500,87508500,SPY
2009/12/29,85.44195557,85.79872373,85.43436894,85.78354469,80572500,80572500,SPY
2009/12/30,85.41161346,85.5102975,85.14593683,85.19148553,73138400,73138400,SPY
2009/12/31,84.59178162,85.62412971,84.55382534,85.60135248,90637900,90637900,SPY
2010/1/4,86.026474,86.07201691,84.64494966,85.29775843,118944600,118944600,SPY
2010/1/5,86.25415039,86.29210666,85.66206966,85.97329485,111579900,111579900,SPY
2010/1/6,86.31487274,86.52741394,86.10233155,86.17064588,116074400,116074400,SPY
2010/1/7,86.67927551,86.78554616,85.91260372,86.15550889,131091100,131091100,SPY
2010/1/8,86.96774292,87.00569921,86.27698355,86.4515686,126402800,126402800,SPY
2010/1/11,87.08914948,87.39277649,86.71719654,87.35482601,106375700,106375700,SPY
2010/1/12,86.27695465,86.69444478,85.94295791,86.51226738,163333500,163333500,SPY
2010/1/13,87.00566864,87.24857378,86.05681955,86.49708112,161822000,161822000,SPY
2010/1/14,87.24099731,87.4004033,86.85386519,86.90700052,115718800,115718800,SPY
